"nichoir";"population";"station";"bloc";"stage_pheno";"stage_chick";"failure";"date_pret";"date_recup";"date_j1"
"ari11";"EMuro";"ari";3;"breed";"p";"pre";"2023-04-05";"2023-05-12";"2023-05-21"
"ari13";"EMuro";"ari";3;"breed";"p";"pre";"2023-04-05";"2023-05-07";"2023-05-21"
"ava16";"DMuro";"ava";2;"brood";"w";"pre";"2023-04-05";"2023-04-30";"2023-05-07"
"ava9";"DMuro";"ava";2;"breed";"p";"aba";"2023-04-05";"2023-05-02";"2023-05-07"
"fil4";"EMuro";"fil";2;"brood";"w";"aba";"2023-04-05";"2023-05-02";"2023-05-07"
"gra12";"EMuro";"gra";3;"prebrood";"w";"aba";"2023-04-25";"2023-05-09";"2023-05-21"
"gra18";"EMuro";"gra";1;"brood";"w";"aba";"2023-04-11";"2023-04-25";"2023-04-26"
"gra4";"EMuro";"gra";3;"prebrood";"w";"aba";"2023-04-05";"2023-05-14";"2023-05-21"
"mur101";"DMuro";"mur";1;"brood";"w";"aba";"2023-04-05";"2023-04-26";"2023-04-26"
"mur46";"DMuro";"mur";3;"breed";"p";"pre";"2023-04-11";"2023-05-20";"2023-05-21"
"mur73";"DMuro";"mur";1;"brood";"w";"aba";"2023-03-25";"2023-04-26";"2023-04-26"
"mur93";"DMuro";"mur";2;"breed";"p";"pre";"2023-03-25";"2023-05-04";"2023-05-07"
"pir103";"EPirio";"pir";5;"prebrood";"w";"aba";"2023-05-04";"2023-05-19";"2023-06-10"
"pir123";"EPirio";"pir";5;"prebrood";"n";"aba";"2023-04-28";"2023-05-19";"2023-06-10"
"pir237";"EPirio";"pir";5;"prebrood";"n";"aba";"2023-05-04";"2023-05-28";"2023-06-10"
"pir5";"EPirio";"pir";5;"prebrood";"w";"aba";"2023-05-04";"2023-05-19";"2023-06-10"
"pir54";"EPirio";"pir";5;"breed";"p";"pre";"2023-04-28";"2023-05-28";"2023-06-10"
"pir89";"EPirio";"pir";5;"prebrood";"w";"aba";"2023-05-04";"2023-05-19";"2023-06-10"
"tua211";"EPirio";"tua";5;"brood";"w";"pre";"2023-05-03";"2023-05-26";"2023-06-10"
